latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
43.5247,-5.7236,300.6,2.8,1.6,2014-01-01,0147,Aqua,MODIS,31,6.2,277.9,37.9,N,2
37.0199,-2.6093,306.7,1,1,2014-01-04,1323,Aqua,MODIS,64,6.2,294.2,4.8,D,0
37.0184,-2.6204,304,1,1,2014-01-04,1323,Aqua,MODIS,58,6.2,293.6,3.2,D,0
39.3629,-2.4692,300,1,1,2014-01-06,1311,Aqua,MODIS,12,6.2,285.6,4.4,D,0
39.9088,-2.8301,319.7,1.1,1,2014-01-06,1311,Aqua,MODIS,60,6.2,283.2,21.3,D,0
38.9115,-0.5073,302.1,1,1,2014-01-06,1311,Aqua,MODIS,45,6.2,291.7,4.4,D,0
39.3047,-2.6108,302.9,1.1,1,2014-01-06,1311,Aqua,MODIS,54,6.2,286.3,6.6,D,0
38.2539,-1.6918,300.1,1,1,2014-01-06,1311,Aqua,MODIS,24,6.2,289.8,3.9,D,0
39.2652,-0.5518,302.3,1,1,2014-01-06,1311,Aqua,MODIS,52,6.2,291.9,3.7,D,0
39.4266,-2.4241,331.4,1,1,2014-01-06,1311,Aqua,MODIS,82,6.2,286.8,33.3,D,0
39.4195,-2.4097,306.3,1,1,2014-01-06,1311,Aqua,MODIS,60,6.2,286.3,8.4,D,0
39.37,-2.4836,305.7,1.1,1,2014-01-06,1311,Aqua,MODIS,49,6.2,285.6,7.4,D,0
39.361,-2.4812,315.6,1.1,1,2014-01-06,1311,Aqua,MODIS,76,6.2,285.3,15.7,D,0
43.1395,-3.812,307.3,1,1,2014-01-06,1312,Aqua,MODIS,62,6.2,279.6,11.6,D,0
42.2746,2.3036,301.2,1.8,1.3,2014-01-08,1118,Terra,MODIS,45,6.2,278.4,14.6,D,0
39.8725,-4.3065,300.1,1,1,2014-01-08,1119,Terra,MODIS,23,6.2,282.1,6.1,D,0
37.7749,-2.2461,300,1.3,1.1,2014-01-08,1119,Terra,MODIS,19,6.2,286.5,6.5,D,0
37.4675,-1.8631,302.5,1.3,1.1,2014-01-08,1120,Terra,MODIS,40,6.2,291.7,5.6,D,0
42.2723,2.3125,300.4,1,1,2014-01-08,1300,Aqua,MODIS,37,6.2,280.6,5.7,D,0
43.1377,-4.1808,310.3,1.2,1.1,2014-01-09,0236,Aqua,MODIS,80,6.2,275.4,17.4,N,0
43.2102,-3.6745,301.6,1.1,1,2014-01-10,1106,Terra,MODIS,48,6.2,278.8,8,D,0
