latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
43.5398,-5.8372,302.1,1.4,1.2,2009-01-01,1309,Aqua,MODIS,29,6.2,282.9,10.3,D,0
42.3329,-6.4662,304.1,1,1,2009-01-04,1340,Aqua,MODIS,58,6.2,283.4,8.8,D,0
41.4671,-1.271,307.5,2.8,1.6,2009-01-07,1232,Aqua,MODIS,65,6.2,275.1,51.5,D,0
37.1896,-6.6255,300.2,1.1,1.1,2009-01-08,1133,Terra,MODIS,30,6.2,282.6,7.4,D,0
39.6582,-2.8131,304.3,1.1,1,2009-01-08,1315,Aqua,MODIS,51,6.2,276.7,9.7,D,0
39.6492,-2.8106,300.7,1.1,1,2009-01-08,1315,Aqua,MODIS,35,6.2,277,7.3,D,0
41.1859,1.2337,310.1,1,1,2009-01-10,0157,Aqua,MODIS,79,6.2,277.1,15.4,N,0
43.5222,-5.7385,301.8,1.6,1.3,2009-01-10,1304,Aqua,MODIS,49,6.2,281.5,15.5,D,2
42.4201,-6.3575,315.3,1.2,1.1,2009-01-11,1346,Aqua,MODIS,76,6.2,281.1,20.9,D,0
41.1802,1.2194,308.2,1.7,1.3,2009-01-11,2130,Terra,MODIS,74,6.2,276.4,29.2,N,0
41.1792,1.2387,316.6,1.3,1.1,2009-01-12,0145,Aqua,MODIS,93,6.2,276.8,28.8,N,0
41.1874,1.2311,314.4,1.3,1.1,2009-01-12,0145,Aqua,MODIS,89,6.2,276.4,26.2,N,0
41.181,1.223,300,1.3,1.1,2009-01-12,0145,Aqua,MODIS,5,6.2,275.5,12.1,N,0
39.4448,-1.6981,300.6,1,1,2009-01-12,1107,Terra,MODIS,39,6.2,279.8,7.2,D,0
41.8285,2.6988,302.7,1.1,1,2009-01-12,1251,Aqua,MODIS,53,6.2,284.6,7.7,D,0
39.8671,-4.3057,303.8,1.1,1,2009-01-15,1321,Aqua,MODIS,47,6.2,282.1,8.1,D,0
43.5196,-5.7332,301.3,2.2,1.4,2009-01-16,1405,Aqua,MODIS,46,6.2,285.7,19.6,D,2
42.1771,-1.7524,302.3,1.3,1.1,2009-01-16,2148,Terra,MODIS,48,6.2,271.3,15.9,N,0
43.5549,-5.9046,307.9,1,1,2009-01-17,1125,Terra,MODIS,62,6.2,285,10.3,D,0
37.6434,-5.6241,300.1,1.1,1,2009-01-17,1126,Terra,MODIS,24,6.2,286.3,5.2,D,0
37.5887,-5.8117,300.2,1.1,1,2009-01-17,1126,Terra,MODIS,24,6.2,286.2,4.8,D,0
38.9667,-5.7743,303.5,1,1,2009-01-17,1126,Terra,MODIS,56,6.2,283.2,7.6,D,0
39.8936,-5.31,304.6,1,1,2009-01-17,1126,Terra,MODIS,56,6.2,280.5,9.3,D,0
38.9648,-5.7625,300.6,1,1,2009-01-17,1126,Terra,MODIS,39,6.2,282.8,6.1,D,0
41.4392,-1.2414,305.6,1,1,2009-01-17,1309,Aqua,MODIS,54,6.2,285.3,8,D,0
41.4501,-1.2318,304.7,1,1,2009-01-17,1309,Aqua,MODIS,53,6.2,285.6,7.5,D,0
42.3755,-2.0603,300.6,1,1,2009-01-17,1309,Aqua,MODIS,37,6.2,283.3,6.5,D,0
39.83,-1.0993,302.2,1,1,2009-01-17,1309,Aqua,MODIS,51,6.2,282.6,7.6,D,0
42.3533,-6.5496,309.3,1.6,1.2,2009-01-17,1310,Aqua,MODIS,68,6.2,280.8,24.7,D,0
43.3242,-6.024,322.2,1.4,1.2,2009-01-18,1353,Aqua,MODIS,75,6.2,288.3,35.4,D,0
36.8041,-2.736,308.7,1,1,2009-01-21,1102,Terra,MODIS,67,6.2,285.9,9.7,D,0
38.5625,-0.1308,320.7,2.4,1.5,2009-01-24,1132,Terra,MODIS,75,6.2,289.9,63.6,D,0
38.5952,-0.1509,331.6,2.4,1.5,2009-01-24,1132,Terra,MODIS,87,6.2,288.2,109.6,D,0
40.856,-4.6641,304.4,1.2,1.1,2009-01-24,1132,Terra,MODIS,59,6.2,276.4,12.3,D,0
