latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
43.5301,-5.74,306.7,1.7,1.3,2002-01-04,2157,Terra,MODIS,69,6.2,276.1,25.2,N,0
37.5138,-6.2386,301.7,1,1,2002-01-05,2238,Terra,MODIS,44,6.2,275.4,9,N,0
43.5217,-5.7282,306.2,1,1,2002-01-07,1120,Terra,MODIS,52,6.2,279.4,10.2,D,2
43.1999,-4.2162,301.4,1.1,1.1,2002-01-09,1108,Terra,MODIS,46,6.2,276.2,9.3,D,0
43.5224,-5.7307,305.4,1.3,1.1,2002-01-09,1108,Terra,MODIS,61,6.2,281,13.4,D,2
43.1256,-3.7126,315.1,2.1,1.4,2002-01-10,1151,Terra,MODIS,75,6.2,276.7,50.8,D,0
41.9724,-1.4587,300.3,1.4,1.2,2002-01-14,1127,Terra,MODIS,33,6.2,283.1,8.8,D,0
38.6677,-4.045,303.2,1.2,1.1,2002-01-14,1128,Terra,MODIS,55,6.2,284.6,8.6,D,0
36.6951,-5.8517,301,1.1,1,2002-01-14,1128,Terra,MODIS,43,6.2,288.9,4.5,D,0
43.525,-5.7295,302.3,1.1,1.1,2002-01-16,1114,Terra,MODIS,52,6.2,283.7,8.2,D,2
36.422,-5.5487,312.3,1,1,2002-01-16,1116,Terra,MODIS,72,6.2,287.5,12.9,D,0
43.5222,-5.7347,317.6,1.3,1.1,2002-01-19,1145,Terra,MODIS,78,6.2,287.1,25,D,2
43.5255,-5.7394,308.8,1.3,1.1,2002-01-19,1145,Terra,MODIS,63,6.2,286.7,14.4,D,2
43.5224,-5.7232,306.8,1.3,1.1,2002-01-19,1145,Terra,MODIS,56,6.2,286.3,12.1,D,2
39.5274,-0.5734,301.1,1.1,1.1,2002-01-20,1051,Terra,MODIS,45,6.2,285,6.7,D,0
43.233,-4.2647,315.1,1.2,1.1,2002-01-21,1133,Terra,MODIS,75,6.2,281.5,19.9,D,0
43.526,-5.7314,310.8,1,1,2002-01-23,1120,Terra,MODIS,70,6.2,288.9,11.3,D,2
43.35,-4.9255,309.5,1,1,2002-01-23,1120,Terra,MODIS,69,6.2,288.5,10.5,D,0
43.2737,-4.2562,300.5,1.1,1,2002-01-23,2227,Terra,MODIS,28,6.2,267.1,9.7,N,0
43.4291,-4.9898,300.7,1,1,2002-01-23,2227,Terra,MODIS,22,6.2,274.1,8.6,N,0
43.272,-4.2696,332.2,1.1,1,2002-01-23,2227,Terra,MODIS,100,6.2,272.7,40.9,N,0
42.0645,-1.2414,302,1,1,2002-01-25,1108,Terra,MODIS,50,6.2,278,7.4,D,0
42.0627,-1.2295,309.8,1,1,2002-01-25,1108,Terra,MODIS,69,6.2,277.7,12.3,D,0
37.07,-2.8993,302,1,1,2002-01-25,1110,Terra,MODIS,45,6.2,288.7,5.1,D,0
43.2964,-2.9526,300.9,1,1,2002-01-25,2215,Terra,MODIS,35,6.2,278.1,7.4,N,0
43.2986,-5.1348,302.5,1.7,1.3,2002-01-27,1056,Terra,MODIS,52,6.2,289.3,12.4,D,0
43.3121,-3.0041,303.5,1.3,1.1,2002-01-27,1056,Terra,MODIS,53,6.2,286,9.1,D,0
39.6799,-0.6987,300.3,1,1,2002-01-27,1057,Terra,MODIS,34,6.2,288.3,3.9,D,0
43.1882,-3.7968,301.5,1.2,1.1,2002-01-27,2202,Terra,MODIS,41,6.2,281.5,9.7,N,0
43.1751,-3.9855,305.3,1.2,1.1,2002-01-27,2202,Terra,MODIS,64,6.2,276.8,13.4,N,0
43.4371,-6.6409,303.5,1.6,1.2,2002-01-27,2203,Terra,MODIS,55,6.2,283,16.1,N,0
43.2947,-4.9936,312.4,1.3,1.1,2002-01-27,2203,Terra,MODIS,85,6.2,277.2,22.4,N,0
43.1625,-5.8721,305,1.4,1.2,2002-01-27,2203,Terra,MODIS,62,6.2,279.4,16.6,N,0
43.208,-6.3735,312,1.5,1.2,2002-01-27,2203,Terra,MODIS,84,6.2,280.1,28,N,0
43.2672,-6.3032,300.1,1.5,1.2,2002-01-27,2203,Terra,MODIS,15,6.2,279.3,13.4,N,0
43.1594,-5.8886,317.2,1.4,1.2,2002-01-27,2203,Terra,MODIS,95,6.2,279.6,32.5,N,0
43.2629,-6.2853,301,1.5,1.2,2002-01-27,2203,Terra,MODIS,37,6.2,280.6,14.3,N,0
43.1908,-4.6504,303.8,1.3,1.1,2002-01-27,2203,Terra,MODIS,51,6.2,273.9,13.5,N,0
43.1421,-6.646,312.9,1.6,1.2,2002-01-27,2203,Terra,MODIS,86,6.2,278.8,29.9,N,0
43.1665,-5.8789,316.9,1.4,1.2,2002-01-27,2203,Terra,MODIS,94,6.2,279.5,32.5,N,0
43.1634,-5.8949,301.3,1.4,1.2,2002-01-27,2203,Terra,MODIS,40,6.2,278.7,14.1,N,0
