latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
43.5246,-5.7361,314.3,1,1,2012-01-01,1130,Terra,MODIS,61,6.2,279.6,16.2,D,2
38.8957,-6.2709,305.7,1.1,1.1,2012-01-01,1131,Terra,MODIS,58,6.2,285.3,9.4,D,0
38.8935,-6.2584,301.6,1.1,1.1,2012-01-01,1131,Terra,MODIS,45,6.2,284.5,6.7,D,0
39.3082,-2.6031,305.1,1.1,1,2012-01-01,1310,Aqua,MODIS,61,6.2,287.3,7.1,D,0
38.9119,-3.0463,300.4,1.1,1,2012-01-01,1310,Aqua,MODIS,36,6.2,289.2,4.3,D,0
38.0469,-1.6831,302.7,1,1,2012-01-01,1310,Aqua,MODIS,53,6.2,288.6,5.2,D,0
38.4577,-2.0126,308,1,1,2012-01-01,1310,Aqua,MODIS,66,6.2,291.2,8.2,D,0
38.0451,-1.6947,301.1,1,1,2012-01-01,1310,Aqua,MODIS,45,6.2,287.6,4.6,D,0
39.2074,-2.2522,303.3,1,1,2012-01-01,1310,Aqua,MODIS,55,6.2,288.1,5.6,D,0
39.6551,-2.8105,314.7,1.1,1,2012-01-01,1310,Aqua,MODIS,75,6.2,286,14.5,D,0
37.6939,-1.3919,306.1,1,1,2012-01-01,1310,Aqua,MODIS,63,6.2,293.5,5.5,D,0
39.4286,-2.4281,310.4,1,1,2012-01-01,1310,Aqua,MODIS,66,6.2,288,10.7,D,0
39.4224,-2.4209,309.3,1,1,2012-01-01,1310,Aqua,MODIS,65,6.2,288.1,9.2,D,0
39.4243,-2.409,311,1,1,2012-01-01,1310,Aqua,MODIS,67,6.2,288.4,10.6,D,0
39.3594,-2.5793,300.8,1.1,1,2012-01-01,1310,Aqua,MODIS,41,6.2,288.5,4.1,D,0
39.3677,-2.4686,300.3,1.1,1,2012-01-01,1310,Aqua,MODIS,34,6.2,287.1,4.2,D,0
39.3503,-2.5768,300.9,1.1,1,2012-01-01,1310,Aqua,MODIS,42,6.2,288.3,4.1,D,0
39.9134,-2.8303,329.7,1.1,1,2012-01-01,1311,Aqua,MODIS,75,6.2,288.5,31.2,D,0
39.9191,-2.8373,304.8,1.1,1,2012-01-01,1311,Aqua,MODIS,56,6.2,289.6,7.1,D,0
38.337,-1.6866,302.1,1.8,1.3,2012-01-02,1036,Terra,MODIS,48,6.2,286,13.4,D,0
39.8617,-0.3908,320.7,1.5,1.2,2012-01-02,2141,Terra,MODIS,100,6.2,278.7,41.7,N,0
39.8724,-0.3942,318.7,1.5,1.2,2012-01-02,2141,Terra,MODIS,97,6.2,277.7,38.7,N,0
39.8688,-0.4124,302.3,1.5,1.2,2012-01-02,2141,Terra,MODIS,48,6.2,276.4,16.3,N,0
39.873,-0.3775,302.5,1.1,1.1,2012-01-03,0153,Aqua,MODIS,50,6.2,274.5,11,N,0
43.5271,-5.7335,342.1,1,1,2012-01-03,1118,Terra,MODIS,93,6.2,285,51.7,D,2
43.5254,-5.7209,311.8,1,1,2012-01-03,1118,Terra,MODIS,72,6.2,283.4,13.5,D,2
37.9451,-6.1262,300.8,1,1,2012-01-03,1119,Terra,MODIS,42,6.2,284.5,5.7,D,0
37.9832,-0.9938,306.5,1.5,1.2,2012-01-03,1119,Terra,MODIS,64,6.2,286.8,13.6,D,0
37.9868,-0.9868,300.3,1.5,1.2,2012-01-03,1119,Terra,MODIS,35,6.2,286.6,8.2,D,0
37.9899,-1.0028,302,1.5,1.2,2012-01-03,1119,Terra,MODIS,50,6.2,286.9,9.8,D,0
42.3038,2.151,307.6,1,1,2012-01-03,1259,Aqua,MODIS,66,6.2,277.9,10.6,D,0
39.3989,-0.4541,300.7,1.1,1,2012-01-05,1106,Terra,MODIS,41,6.2,289.1,4.8,D,0
43.5249,-5.7281,301.3,1.3,1.1,2012-01-05,1106,Terra,MODIS,46,6.2,280.9,9.9,D,2
42.313,-2.2997,301.5,1,1,2012-01-05,1106,Terra,MODIS,47,6.2,281.6,6.9,D,0
38.7258,-0.7196,310.8,1.1,1,2012-01-05,1107,Terra,MODIS,67,6.2,285.4,12,D,0
37.013,-2.1696,302.5,1,1,2012-01-05,1107,Terra,MODIS,45,6.2,291.9,3.5,D,0
37.4685,-5.8584,303.2,1.1,1.1,2012-01-05,1107,Terra,MODIS,55,6.2,289.4,5.9,D,0
38.0482,-1.6866,304.2,1,1,2012-01-05,1107,Terra,MODIS,58,6.2,286.7,7,D,0
38.2614,-1.4507,303.1,1,1,2012-01-05,1107,Terra,MODIS,55,6.2,289.3,5,D,0
37.7875,-4.9843,309.6,1.1,1,2012-01-05,1107,Terra,MODIS,69,6.2,286.6,11.2,D,0
42.3385,-6.7037,316.8,1.1,1,2012-01-06,0224,Aqua,MODIS,94,6.2,271.9,22,N,0
39.7994,-3.8486,300.8,1,1,2012-01-06,1329,Aqua,MODIS,41,6.2,288.5,3.6,D,0
39.4585,-6.5116,300.5,1,1,2012-01-06,1329,Aqua,MODIS,36,6.2,288.5,4.6,D,0
42.2871,-5.886,302,1,1,2012-01-06,1330,Aqua,MODIS,50,6.2,284.5,6,D,0
41.6484,0.1843,300.9,1.9,1.4,2012-01-07,1234,Aqua,MODIS,43,6.2,286.4,13.3,D,0
42.343,-6.6292,345,1.1,1.1,2012-01-08,1136,Terra,MODIS,94,6.2,283.7,64.9,D,0
42.3338,-6.6325,303.5,1.1,1.1,2012-01-08,1136,Terra,MODIS,56,6.2,282.9,10.3,D,0
