latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
43.5284,-5.7364,304.9,1,1,2011-01-01,0236,Aqua,MODIS,62,6.2,278.8,11.4,N,2
43.5264,-5.7237,307.6,1,1,2011-01-01,0236,Aqua,MODIS,72,6.2,278.8,13.3,N,2
43.5246,-5.7335,308.7,1.2,1.1,2011-01-01,1343,Aqua,MODIS,64,6.2,284.6,13.8,D,2
42.1833,-1.1933,312.4,1.4,1.2,2011-01-03,1330,Aqua,MODIS,73,6.2,281.8,23,D,0
42.185,-1.1764,301.9,1.4,1.2,2011-01-03,1330,Aqua,MODIS,50,6.2,281,11.9,D,0
39.2136,-0.5505,300.3,1,1,2011-01-04,1054,Terra,MODIS,35,6.2,285.2,5.2,D,0
43.5248,-5.7274,300.4,1,1,2011-01-07,1124,Terra,MODIS,37,6.2,285.9,5,D,2
39.8826,-0.0972,301.8,1,1,2011-01-07,1305,Aqua,MODIS,49,6.2,284.8,4.8,D,0
43.2865,-3.6137,302.3,1.1,1.1,2011-01-07,1306,Aqua,MODIS,51,6.2,286.6,8.2,D,0
36.6998,-6.2373,303.1,1,1,2011-01-10,1335,Aqua,MODIS,55,6.2,289.5,5.1,D,0
36.7086,-6.2393,300.3,1,1,2011-01-10,1335,Aqua,MODIS,14,6.2,289.4,3.2,D,0
36.7014,-6.2262,300.8,1,1,2011-01-10,1335,Aqua,MODIS,42,6.2,288.8,3.7,D,0
43.5262,-5.7299,304.1,1.3,1.1,2011-01-12,1142,Terra,MODIS,58,6.2,283,11.5,D,2
37.2826,-1.9451,304.2,1,1,2011-01-12,1323,Aqua,MODIS,58,6.2,290.3,4.1,D,0
43.5177,-5.7386,307.2,1,1,2011-01-12,1325,Aqua,MODIS,65,6.2,284.7,8.9,D,2
38.2479,-0.6844,300.5,1.1,1,2011-01-13,1048,Terra,MODIS,37,6.2,288.2,4.5,D,0
39.4213,-2.4254,326.9,1,1,2011-01-14,1311,Aqua,MODIS,80,6.2,289.6,25.4,D,0
38.7252,-0.7348,304.3,1,1,2011-01-14,1311,Aqua,MODIS,51,6.2,291.8,5.1,D,0
39.9125,-2.8338,315.4,1.1,1,2011-01-14,1311,Aqua,MODIS,71,6.2,289.8,14.9,D,0
39.6543,-2.8141,317.9,1.1,1,2011-01-14,1311,Aqua,MODIS,74,6.2,288.4,17.1,D,0
39.6478,-2.8058,318.3,1.1,1,2011-01-14,1311,Aqua,MODIS,74,6.2,288.8,16.8,D,0
39.2081,-2.2452,305.2,1,1,2011-01-14,1311,Aqua,MODIS,61,6.2,289,6.7,D,0
39.4304,-2.4278,324.1,1,1,2011-01-14,1311,Aqua,MODIS,78,6.2,289.8,23.1,D,0
38.7163,-0.7327,303.3,1,1,2011-01-14,1311,Aqua,MODIS,53,6.2,291.9,4.2,D,0
38.7984,-0.3533,302.4,1,1,2011-01-14,1311,Aqua,MODIS,45,6.2,291.4,4.1,D,0
43.1619,-3.6742,304.5,1,1,2011-01-16,1117,Terra,MODIS,59,6.2,279.8,8.8,D,0
43.1772,-3.6514,308.8,1,1,2011-01-16,1117,Terra,MODIS,32,6.2,281.9,10.3,D,0
