name,adm1__id
"Andalucía","1"
"Aragón","2"
"Cantabria","3"
"Castilla-La Mancha","4"
"Castilla y León","5"
"Cataluña","6"
"Ceuta y Melilla","7"
"Comunidad de Madrid","8"
"Comunidad Foral de Navarra","9"
"Comunidad Valenciana","10"
"Extremadura","11"
"Galicia","12"
"Islas Baleares","13"
"Islas Canarias","14"
"La Rioja","15"
"País Vasco","16"
"Principado de Asturias","17"
"Región de Murcia","18"
