year,month,gid_0,country,gid_1,region,CO2,CO,TPM,PM25,TPC,NMHC,OC,CH4,SO2,BC,NOx
2005,3,ESP,Spain,ESP.12_1,Galicia,115645.815,5120.759,770.494,581.858,322.445,373.415,290.864,191.658,42.565,31.134,232.392
2005,4,ESP,Spain,ESP.12_1,Galicia,10186.72,459.649,63.309,46.024,22.624,33.465,19.669,18.519,3.19,2.914,21.64
2005,5,ESP,Spain,ESP.12_1,Galicia,7807.878,409.593,59.445,39.361,23.014,35.339,20.31,18.777,2.882,2.688,14.661
2005,6,ESP,Spain,ESP.12_1,Galicia,19521.992,896.805,141.935,105.902,63.732,69.321,58.252,34.071,8.007,5.417,36.801
2005,7,ESP,Spain,ESP.12_1,Galicia,45193.416,2377.09,417.855,296.694,211.465,215.914,197.027,98.065,24.053,14.393,67.575
2005,8,ESP,Spain,ESP.12_1,Galicia,695850.208,31579.912,5150.027,3902.303,2409.353,2428.904,2219.833,1158.326,299.062,187.26,1286.047
2005,9,ESP,Spain,ESP.12_1,Galicia,132649.436,5898.521,905.763,685.438,390.762,434.969,354.648,219.182,50.753,35.619,261.669
2005,10,ESP,Spain,ESP.12_1,Galicia,79766.6,3210.855,440.204,350.138,158.493,198.976,138.649,111.1,23.879,19.43,178.148
2005,11,ESP,Spain,ESP.12_1,Galicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,12,ESP,Spain,ESP.12_1,Galicia,20403.109,901.237,148.405,114.649,70.458,67.337,65.127,31.662,8.793,5.259,38.042
2006,1,ESP,Spain,ESP.12_1,Galicia,3134.061,117.109,15.8,13.328,5.577,6.32,4.87,3.606,0.892,0.688,7.25
2006,2,ESP,Spain,ESP.12_1,Galicia,20249.014,835.063,124.137,98.399,51.392,55.108,46.351,28.486,7.08,4.947,42.533
2006,3,ESP,Spain,ESP.12_1,Galicia,2361.02,126.15,25.23,18.493,14.479,12.042,13.762,4.817,1.577,0.717,2.752
2006,4,ESP,Spain,ESP.12_1,Galicia,10624.381,462.462,76.566,59.771,36.644,33.992,33.931,15.85,4.586,2.674,19.9
2006,5,ESP,Spain,ESP.12_1,Galicia,14157.328,624.371,91.212,68.569,36.408,44.915,32.516,23.665,4.926,3.836,29.153
2006,6,ESP,Spain,ESP.12_1,Galicia,30443.32,1680.523,277.464,187.485,129.841,156.138,119.176,75.331,14.879,10.645,47.355
2006,7,ESP,Spain,ESP.12_1,Galicia,111290.43,5634.345,1040.671,765.415,556.249,502.189,523.304,215.742,62.955,32.806,161.19
