time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),et0_fao_evapotranspiration (mm),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),soil_temperature_0cm (°C),soil_moisture_0_to_1cm (m³/m³),direct_normal_irradiance_instant (W/m²)
2024-05-22T00:00,8.6,97,0,0,0.03,11,NaN,NaN,0
2024-05-22T01:00,8.8,95,0,0,0.06,11.3,NaN,NaN,0
2024-05-22T02:00,9,94,0,0,0.07,11.6,NaN,NaN,0
2024-05-22T03:00,9.2,94,0,0,0.07,11.9,NaN,NaN,0
2024-05-22T04:00,9.4,93,0,0,0.08,12.3,NaN,NaN,0
2024-05-22T05:00,9.5,94,0,0,0.07,12.4,NaN,NaN,0
2024-05-22T06:00,9.6,95,0.8,0,0.06,11.7,NaN,NaN,0
2024-05-22T07:00,9.7,98,0.8,0,0.02,10.6,NaN,NaN,0
2024-05-22T08:00,9.8,99,0.8,0.01,0.01,9.9,NaN,NaN,0
2024-05-22T09:00,9.9,99,0.9,0.02,0.01,10.7,NaN,NaN,4.1
2024-05-22T10:00,9.9,99,0.9,0.02,0.01,12.9,NaN,NaN,9.5
2024-05-22T11:00,9.9,99,0.9,0.02,0.01,14.7,NaN,NaN,12
2024-05-22T12:00,10,99,0.3,0.02,0.01,15,NaN,NaN,12.4
2024-05-22T13:00,10.1,99,0.3,0.03,0.01,14.5,NaN,NaN,12
2024-05-22T14:00,10.1,99,0.3,0.03,0.01,14.3,NaN,NaN,13.3
2024-05-22T15:00,10.2,99,0.4,0.03,0.01,14.8,NaN,NaN,18.4
2024-05-22T16:00,10.3,98,0.4,0.04,0.03,15.8,NaN,NaN,27.8
2024-05-22T17:00,10.3,98,0.4,0.05,0.03,16.4,NaN,NaN,38.6
2024-05-22T18:00,10.4,98,0.1,0.05,0.03,16.4,NaN,NaN,55.5
2024-05-22T19:00,10.4,99,0.1,0.05,0.01,16.1,NaN,NaN,72.7
2024-05-22T20:00,10.4,99,0.1,0.04,0.01,15.8,NaN,NaN,89.7
2024-05-22T21:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-05-22T22:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-05-22T23:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
